rank,address,wallet,buy_tx,buy_block,usdc,venue,nonce,eth
274,0x21d21ce5b22f2f2323ecf4936179aa01e70cc6ac,delegated,0x96c62ce675b074c89c569424d2920c00eb1d5b82ad153f1cb323526592eb0d7d,49979525,831.641471,LI.FI diamond,107,0.000177955688032005
275,0xde366320f705d203fe909595b9ed0251e0fc1a5e,delegated,0x9446e61303cc5886b1b4dffa9d316baf4ad191a261fe7a5becf1e43ef3775ee1,49979349,380,LI.FI diamond,188,0.000924725814800705
276,0x5a427223d38c1bf40262b8ab7d25c4506e7bf1b3,delegated,0x96234decd5df2992478112beb99661599ac591da091ed9ae5a2dc6a7626967bd,49979228,228.067,LI.FI diamond,2135,0.002509716542970784
277,0xcfbb28229945187be356b80d74d8cd43ef1a9783,delegated,0xf7a0d5a9f3cda207224095ebc92f90cd4ac8429318b3a37e6d6591ebd4f25149,49978980,254,LI.FI diamond,5317,0.003399003664483199
278,0x3d7bc27e3322a8dd28e65bc3471828c6f42b22e6,plain,0xe57fc056b2dcf3dcba745018dd97309518fb5a838672e60d8f9bc0f01036c700,49978917,1499.967,Socket gateway,28,0.004818671415853656
279,0x797bc498edee4357a16a1054db0323cbd04c84c3,delegated,0x3180a84e3bf4d3e513d11152e75a7a1f039eca3181661fec969b89dda8b2e1bf,49977955,4023.439498,LI.FI diamond,1248,0.013124386145496892
280,0x7af12d4365debebabde99afe405e1fda9ba250a6,delegated,0x8b82ae60bcf9402fc3ec85e7bf5b9ea36ed4a8c5fa917ece0b36793d2da21494,49977482,1000,LI.FI diamond,567,0.018405710157067323
281,0x619d3242a348a4fa738edcecdfade1b1b7a54313,delegated,0xf7260ea65eefede85eb63ddbfe14e947d2aec0977e39b369099ae284b472f92f,49977252,842,LI.FI diamond,339,0.001133078347170368
282,0xe00571fdbf7452e02ceed9808c46c6c6c13e87e2,delegated,0x0a09b3a1cc350f1fc1c1667ddcb7fd8daa1648d321142a2990da4bda0b176892,49977239,785.622315,LI.FI diamond,4237,0.000361809165336893
283,0xc36e9a525e36375fa9e2c07596dabe8d20bfb7a1,delegated,0x49bfa601a1641a9eeec799db93430cb3dc2e62d0fed30e519435900e2831a4fc,49977064,250,LI.FI diamond,1500,0.006706444182263683
284,0xcc38ca3fb426a0c7aa99aa35b4fe7486b0fa221c,delegated,0x038ce876a0359e578fa018b6b654821378bc4178a062f999cb86531f0a7c0c14,49977024,500,LI.FI diamond,2002,0.02771444823111404
285,0x188ff41da75f5e24c3ea3a3eda23fbae53dd47d6,delegated,0x4fd96d3737f6c4ffdea9bf363512e56a06d87d2a0ccb0cfaf04ff4e2d112eb78,49976921,274.591828,LI.FI diamond,523,0.03909638644212879
286,0xba89d77797d3943c578567c15fec84b64a83c241,delegated,0xcfbf22c90a415525eb4f602421f9f6c31271edcf87e5df5caa47d352564f7cf5,49976503,500,LI.FI diamond,179,0.013969778001109736
287,0x2bb298aeb1a07708938221241896821a084c45d3,plain,0x39d1546c1209be94bd2874038c0ff23cbbd4640561d146e65decf7fffbeb82c4,49975842,320.01085,LI.FI diamond,11,0.000999334715108053
288,0xa9820db5827e42cb90c9c669b581ca77147dd21e,delegated,0x1bce2b1f6dce2c0801f93eb967fd517207fdc25802ae484fa112e71c689deb4b,49975440,245,LI.FI diamond,140,0.007383289163136204
289,0xe870324bc3924c5693eb4dd998adae80de59d1a0,plain,0x32e816209c8ecb962c332f0fd6010b4880fa31e85fa15fac24c34827638a4f6d,49974719,450.23527,LI.FI diamond,3089,0.027802657331465083
290,0x88e05b0d20a02b8c6607e33657a92012432a1aa5,delegated,0xa3597f93971926f417f6a404646beff791f3cfd0bc3a0047408d74e466f895ff,49974566,500,LI.FI diamond,2240,0.005501337697810844
291,0x2a5be647679fa82b8136f5c236784b2f03224d45,delegated,0x86a7254b3be785123ee0cfe2353e1d52c0e79f04fcb744e5d13f59a61dd178f0,49974063,302,LI.FI diamond,108,0.000312008413428846
